TS,256,Level,75.64250000000142
TS,256,Level,75.1306250000014
TS,0,Level,74.89437500000139
TS,20200222_174455,Level,73.63437500000134
TS,20200222_175157,Level,73.35875000000134
TS,20200222_175537,Level,73.24062500000133
TS,20200222_181027,Level,72.6106250000013
TS,20200222_181812,Level,72.2956250000013
TS,20200222_182028,Level,72.2168750000013
TS,20200222_182510,Level,71.98062500000128
TS,20200222_182717,Level,71.98062500000128
TS,20200222_184752,Level,71.11437500000125
TS,20200224_142513,Level,75.80000000000143
TS,20200224_145057,Level,74.81562500000139
TS,20200224_145247,Level,75.91812500000144
TS,20200224_182612,Level,72.69749999999878
TS,20200224_182908,Level,75.58124999999879
TS,20200224_183051,Level,95.92499999999801
TS,20200224_183526,Level,98.7537499999979
TS,20200224_183806,Level,98.6762499999979
